""	"a"	"NA"	"NA"	"NA"	"año"	"Primarias"
"132"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MONICA LISETTE VIVANCO CASTRO"	"40000"	"2009"	"No"
"133"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EDUARDO ANTONIO ORELLANA PEZOA"	"80000"	"2009"	"No"
"134"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EDUARDO ANTONIO ORELLANA PEZOA"	"60000"	"2009"	"No"
"135"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"INGRID JASMINE ROJAS ZUNIGA"	"390000"	"2009"	"No"
"136"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA SOLEDAD OJEDA ROJAS"	"60000"	"2009"	"No"
"137"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EUGENIA DEL ROSARIO ZUNIGA MARCHANT"	"190000"	"2009"	"No"
"138"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"LUZ ANGELICA RUZ BRAVO"	"30000"	"2009"	"No"
"139"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"YARESIA CAROLINA SALDANA FAUNDEZ"	"20000"	"2009"	"No"
"140"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA TERESA ORELLANA PEZOA"	"80000"	"2009"	"No"
"141"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"CONSTANZA CECILIA FUENTES VALDES"	"130000"	"2009"	"No"
"142"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"ALEJANDRA PAOLA SOTO RUZ"	"110000"	"2009"	"No"
"143"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"NORMA ELENA CORTES ESPINOZA"	"20000"	"2009"	"No"
"144"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EDUARDO ANTONIO ORELLANA PEZOA"	"190000"	"2009"	"No"
"145"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"CARMEN GLORIA RETAMAL HUAIQUIL"	"50000"	"2009"	"No"
"146"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"KAREN FABIOLA DELGADO SALDANA"	"20000"	"2009"	"No"
"147"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA TERESA ORELLANA PEZOA"	"10000"	"2009"	"No"
"148"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"LUZ ANGELICA RUZ BRAVO"	"90000"	"2009"	"No"
"149"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EUGENIA DEL ROSARIO ZUNIGA MARCHANT"	"10000"	"2009"	"No"
"150"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"NADIA DANIELA MALDONADO OPAZO"	"60000"	"2009"	"No"
"151"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"NORMA ELENA CORTES ESPINOZA"	"30000"	"2009"	"No"
"152"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EDUARDO ANTONIO ORELLANA PEZOA"	"10000"	"2009"	"No"
"153"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"FELIPE IGNACIO GOMEZ GONZALEZ"	"50000"	"2009"	"No"
"154"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA TERESA ORELLANA PEZOA"	"190000"	"2009"	"No"
"155"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"STEPHAN HENRY CORREA VALDERRAMA"	"20000"	"2009"	"No"
"156"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"CONSTANZA CECILIA FUENTES VALDES"	"50000"	"2009"	"No"
"157"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"ISABEL DE LAS MERCED ORTIZ CACERES"	"30000"	"2009"	"No"
"158"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"ROMINA ANDREA MUNOZ CABRERA"	"60000"	"2009"	"No"
"159"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"INGRID JASMINE ROJAS ZUNIGA"	"190000"	"2009"	"No"
"160"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"CARMEN GLORIA RETAMAL HUAIQUIL"	"130000"	"2009"	"No"
"161"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"INGRID JASMINE ROJAS ZUNIGA"	"10000"	"2009"	"No"
"162"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARCELA ALEJANDRA ABARCA VALLADARES"	"50000"	"2009"	"No"
"163"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EUGENIA DEL ROSARIO ZUNIGA MARCHANT"	"80000"	"2009"	"No"
"164"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"EUGENIA DEL ROSARIO ZUNIGA MARCHANT"	"60000"	"2009"	"No"
"165"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA SOLEDAD OJEDA ROJAS"	"120000"	"2009"	"No"
"166"	"MARCO ENRIQUEZ-OMINAMI"	"INDEPENDIENTE"	"MARIA TERESA ORELLANA PEZOA"	"60000"	"2009"	"No"
"167"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	NA	"717616"	"2013"	"No"
"168"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	NA	"7400000"	"2013"	"No"
"169"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	"BANCO ESTADO"	"185500"	"2013"	"No"
"170"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	"MAYCO CONSULTORES LTDA"	"5000000"	"2013"	"No"
"171"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	"BANCO ESTADO"	"1832800"	"2013"	"No"
"172"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	NA	"25000837"	"2013"	"No"
"173"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	"ARQUITECTURA Y DISEÑO ESTUDIO TRES"	"14100000"	"2013"	"No"
"174"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	"BANCO ESTADO"	"79814500"	"2013"	"No"
"175"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	NA	"1809107"	"2013"	"No"
"176"	"ALFREDO SFEIR"	"PARTIDO ECOLOGISTA VERDE"	"-"	"138000"	"2013"	"No"
"177"	"EVELYN MATTHEI"	"UNION DEMOCRATA INDEPENDIENTE"	"-"	"2312122905"	"2013"	"No"
"178"	"EVELYN MATTHEI"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO CHILE"	"9143606"	"2013"	"No"
"179"	"EVELYN MATTHEI"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO CHILE"	"1153524740"	"2013"	"No"
"180"	"FRANCO ALDO PARISI"	"INDEPENDIENTE"	"FRANCO PARISI FERNANDEZ"	"539397"	"2013"	"No"
"181"	"FRANCO ALDO PARISI"	"INDEPENDIENTE"	"-"	"5000000"	"2013"	"No"
"182"	"FRANCO ALDO PARISI"	"INDEPENDIENTE"	"BANCO ESTADO"	"500000000"	"2013"	"No"
"183"	"FRANCO ALDO PARISI"	"INDEPENDIENTE"	NA	"12376667"	"2013"	"No"
"184"	"MARCEL CLAUDE"	"PARTIDO HUMANISTA"	"Banco del Estado"	"110000000"	"2013"	"No"
"185"	"MARCEL CLAUDE"	"PARTIDO HUMANISTA"	NA	"2635967"	"2013"	"No"
"186"	"MARCEL CLAUDE"	"PARTIDO HUMANISTA"	NA	"771040"	"2013"	"No"
"187"	"MARCEL CLAUDE"	"PARTIDO HUMANISTA"	"Banco del Estado"	"48000000"	"2013"	"No"
"188"	"MARCO ENRIQUEZ-OMINAMI"	"PARTIDO PROGRESISTA"	"BANCOESTADO"	"50000000"	"2013"	"No"
"189"	"MARCO ENRIQUEZ-OMINAMI"	"PARTIDO PROGRESISTA"	"MARCO ENRIQUEZ OMINAMI GUMUCIO"	"7752578"	"2013"	"No"
